condition,seed,round,avg_belief_entropy,belief_argmax_accuracy,matched_cross_entropy,obs_count_so_far,belief_rep_coop_type0,belief_rep_def_type0
symmetric,42,0,0.693147180559945,0.5,1.3862943611198906,1,0.5,0.5
symmetric,42,1,0.693147180559945,0.5,1.3862943611198906,2,0.5,0.5
symmetric,42,2,0.693147180559945,0.5,1.3862943611198906,3,0.5,0.5
symmetric,42,3,0.693147180559945,0.5,1.3862943611198906,4,0.5,0.5
symmetric,42,4,0.693147180559945,0.5,1.3887933201471419,5,0.5,0.5
symmetric,42,5,0.693147180559945,0.5,1.3887933201471419,6,0.5,0.5
symmetric,42,6,0.693147180559945,0.5,1.3887933201471419,7,0.5,0.5
symmetric,42,7,0.693147180559945,0.5,1.3887933201471419,8,0.5,0.5
symmetric,42,8,0.693147180559945,0.5,1.3887933201471419,9,0.5,0.5
symmetric,42,9,0.693147180559945,0.5,1.3912045378263627,10,0.5,0.5
symmetric,42,10,0.693147180559945,0.5,1.3912045378263627,11,0.5,0.5
symmetric,42,11,0.693147180559945,0.5,1.3912045378263627,12,0.5,0.5
symmetric,42,12,0.693147180559945,0.5,1.3912045378263627,13,0.5,0.5
symmetric,42,13,0.693147180559945,0.5,1.3912045378263627,14,0.5,0.5
symmetric,42,14,0.693147180559945,0.5,1.4005165009924299,15,0.5,0.5
symmetric,42,15,0.693147180559945,0.5,1.4005165009924299,16,0.5,0.5
symmetric,42,16,0.693147180559945,0.5,1.4005165009924299,17,0.5,0.5
symmetric,42,17,0.693147180559945,0.5,1.4005165009924299,18,0.5,0.5
symmetric,42,18,0.693147180559945,0.5,1.4005165009924299,19,0.5,0.5
symmetric,42,19,0.693147180559945,0.5,1.3908863704584533,20,0.5,0.5
symmetric,42,20,0.693147180559945,0.5,1.3908863704584533,21,0.5,0.5
symmetric,42,21,0.693147180559945,0.5,1.3908863704584533,22,0.5,0.5
symmetric,42,22,0.693147180559945,0.5,1.3908863704584533,23,0.5,0.5
symmetric,42,23,0.693147180559945,0.5,1.3908863704584533,24,0.5,0.5
symmetric,42,24,0.693147180559945,0.5,1.389004297930783,25,0.5,0.5
symmetric,42,25,0.693147180559945,0.5,1.389004297930783,26,0.5,0.5
symmetric,42,26,0.693147180559945,0.5,1.389004297930783,27,0.5,0.5
symmetric,42,27,0.693147180559945,0.5,1.389004297930783,28,0.5,0.5
symmetric,42,28,0.693147180559945,0.5,1.389004297930783,29,0.5,0.5
symmetric,42,29,0.693147180559945,0.5,1.3925892035515188,30,0.5,0.5
symmetric,42,30,0.693147180559945,0.5,1.3925892035515188,31,0.5,0.5
symmetric,42,31,0.693147180559945,0.5,1.3925892035515188,32,0.5,0.5
symmetric,42,32,0.693147180559945,0.5,1.3925892035515188,33,0.5,0.5
symmetric,42,33,0.693147180559945,0.5,1.3925892035515188,34,0.5,0.5
symmetric,42,34,0.693147180559945,0.5,1.3908158789336977,35,0.5,0.5
symmetric,42,35,0.693147180559945,0.5,1.3908158789336977,36,0.5,0.5
symmetric,42,36,0.693147180559945,0.5,1.3908158789336977,37,0.5,0.5
symmetric,42,37,0.693147180559945,0.5,1.3908158789336977,38,0.5,0.5
symmetric,42,38,0.693147180559945,0.5,1.3908158789336977,39,0.5,0.5
symmetric,42,39,0.693147180559945,0.5,1.3895403294434094,40,0.5,0.5
symmetric,42,40,0.693147180559945,0.5,1.3895403294434094,41,0.5,0.5
symmetric,42,41,0.693147180559945,0.5,1.3895403294434094,42,0.5,0.5
symmetric,42,42,0.693147180559945,0.5,1.3895403294434094,43,0.5,0.5
symmetric,42,43,0.693147180559945,0.5,1.3895403294434094,44,0.5,0.5
symmetric,42,44,0.693147180559945,0.5,1.3920316490858875,45,0.5,0.5
symmetric,42,45,0.693147180559945,0.5,1.3920316490858875,46,0.5,0.5
symmetric,42,46,0.693147180559945,0.5,1.3920316490858875,47,0.5,0.5
symmetric,42,47,0.693147180559945,0.5,1.3920316490858875,48,0.5,0.5
